variable_name,limesurvey_export_name,classification,keep_drop_decision,reason,manual_review_needed,codebook_label,codebook_scale
Habit1,Habit[Habit1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,My decision to be physically active is something I do automatically.,habit instigation automaticity
Habit2,Habit[Habit2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,My decision to be physically active is something I do without consciously remembering it.,habit instigation automaticity
Habit3,Habit[Habit3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,My decision to be physically active is something I do without thinking about it.,habit instigation automaticity
Habit4,Habit[Habit4],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,My decision to be physically active is something I start doing before I realize that I am doing it.,habit instigation automaticity
Bew1,Bew1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Self-reported number of days per week with vigorous physical activity.,physical activity behavior
Bew2,Bew2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Self-reported minutes per day spent in vigorous physical activity.,physical activity behavior
Bew3,Bew3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Self-reported number of days per week with moderate physical activity.,physical activity behavior
Bew4,Bew4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Self-reported minutes per day spent in moderate physical activity.,physical activity behavior
Bew5,Bew5,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Self-reported number of days per week with light physical activity.,physical activity behavior
Bew6,Bew6,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Self-reported minutes per day spent in light physical activity.,physical activity behavior
STG,STG,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Stage of change regarding regular physical activity.,stage of change
Intention1,Intention1[Int1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Intention to be physically active on most days during the coming week.,intention
Intention2,Intention2[Int2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Intended effort to be physically active on most days during the coming week.,intention
Intention3,Intention3[Int3],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Plan to be physically active on most days during the coming week.,intention
Att1,Att1[Att1],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Evaluation of being physically active during the coming week as harmful versus beneficial.,attitude toward behavior
Att2,Att2[Att2],sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Evaluation of being physically active during the coming week as unpleasant versus pleasant.,attitude toward behavior
