variable_name,limesurvey_export_name,codebook_name_if_applicable,classification,keep_drop_decision,reason,manual_review_needed,question_type,codebook_label,codebook_type,codebook_scale,crosswalk_match_type,question_text,subquestion_text
interviewtime,interviewtime,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
mpid,mpid,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
validuntil,validuntil,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
validfrom,validfrom,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
completed,completed,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
remindercount,remindercount,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
remindersent,remindersent,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
sent,sent,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
usesleft,usesleft,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
emailstatus,emailstatus,,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,metadata,,,,metadata,,
email,email,,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,metadata,,,,metadata,,
lastname,lastname,,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,metadata,,,,metadata,,
firstname,firstname,,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,metadata,,,,metadata,,
token,token,,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,metadata,,,,metadata,,
refurl,refurl,,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,metadata,,,,metadata,,
datestamp,datestamp,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
startdate,startdate,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
seed,seed,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
startlanguage,startlanguage,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
lastpage,lastpage,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
submitdate,submitdate,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
id,id,,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,metadata,,,,metadata,,
Einv,Einv,Einv,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,Y,Informed consent to participate in the research project.,logical,consent,question_code,"Einverständniserklärung Bitte lies die folgenden Informationen sorgfältig durch. Deine Teilnahme ist freiwillig. Forschungsprojekt: Nützlichkeit von künstlicher Intelligenz im Coaching für Bewegungsförderung Verantwortliche Institution: Universität Bern, Institut für Sportwissenschaft (ISPW) Partner",
Ges,Ges,Ges,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,L,Self-reported gender of the participant.,categorical,demographics,question_code,Welches Geschlecht hast du?,
Edu,Edu,Edu,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,L,Highest completed educational qualification of the participant.,ordinal,demographics,question_code,Was ist dein höchster Bildungsabschluss?,
Habit1,Habit[Habit1],Habit1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,My decision to be physically active is something I do automatically.,ordinal,habit instigation automaticity,subquestion_code,,…was ich automatisch mache.
Habit2,Habit[Habit2],Habit2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,My decision to be physically active is something I do without consciously remembering it.,ordinal,habit instigation automaticity,subquestion_code,,"...das ich mache, ohne mich bewusst daran zu erinnern."
Habit3,Habit[Habit3],Habit3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,My decision to be physically active is something I do without thinking about it.,ordinal,habit instigation automaticity,subquestion_code,,"...das ich mache, ohne darüber nachzudenken."
Habit4,Habit[Habit4],Habit4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,My decision to be physically active is something I start doing before I realize that I am doing it.,ordinal,habit instigation automaticity,subquestion_code,,"...was ich anfange, bevor ich merke, dass ich es tue."
