variable_name,label,type,values_coding,scale,notes
timePoint,Measurement time point of survey administration.,categorical,1 = T1 (baseline); 2 = T2 (12-week follow-up); 3 = T3 (24-week follow-up),technical / wave control,Hidden control variable used to identify the measurement wave for repeated survey administrations.
Einv,Informed consent to participate in the research project.,logical,Y = consent provided; N = consent not provided,consent,Required consent item for study participation.
randomGroup,Randomization variable generated at baseline to assign study group.,categorical,1 = start with Phase A (AI coaching first); 2 = start with Phase B (baseline/transfer first),technical / randomization,Hidden variable generated only at baseline (timePoint = 1); used to derive studyGroup.
studyGroup,Study group allocation indicating the order of study phases.,categorical,1 = Phase A first (AI coaching first); 2 = Phase B first (baseline/transfer first),technical / group allocation,Hidden control variable derived from randomGroup and used for wave-specific branching.
AppName,Hidden app label displayed in wave-specific app questions.,categorical,"""Gesundheits-App"" = preinstalled health app; ""Studien KI-App"" = study AI app",technical / display logic,Hidden text variable that changes item wording depending on studyGroup and timePoint.
Bew1,Self-reported number of days per week with vigorous physical activity.,numeric,Integer number of days per week,physical activity behavior,Vigorous activity is defined in the survey as activity that noticeably increases heart rate and induces sweating.
Bew2,Self-reported minutes per day spent in vigorous physical activity.,numeric,Integer number of minutes per day,physical activity behavior,Displayed only if Bew1 is at least 1 day per week.
Bew3,Self-reported number of days per week with moderate physical activity.,numeric,Integer number of days per week,physical activity behavior,Moderate activity refers to activities of moderate intensity as described in the survey.
Bew4,Self-reported minutes per day spent in moderate physical activity.,numeric,Integer number of minutes per day,physical activity behavior,Displayed only if Bew3 is at least 1 day per week.
Bew5,Self-reported number of days per week with light physical activity.,numeric,Integer number of days per week,physical activity behavior,Light activity refers to light-intensity activity as described in the survey.
Bew6,Self-reported minutes per day spent in light physical activity.,numeric,Integer number of minutes per day,physical activity behavior,Displayed only if Bew5 is at least 1 day per week.
STG,Stage of change regarding regular physical activity.,ordinal,PC = no regular physical activity and no intention to start within 6 months; CO = no regular physical activity but intention to start within 6 months; PR = no regular physical activity but intention to start within 30 days; AC = regular physical activity for less than 6 months; MA = regular physical activity for at least 6 months,stage of change,Single-item stage classification based on regular physical activity.
METtotal,Hidden calculated total MET-minutes per week based on self-reported physical activity.,numeric,Calculated value,technical / physical activity classification,"LimeSurvey equation: METtotal = {((Bew1 * Bew2) * 9) + ((Bew3 * Bew4) * 5) + ((Bew5 * Bew6) * 3)} based on Nigg et al., (2024)"
PAFlag,Hidden physical activity classification flag based on METtotal and stage of change.,binary,1 = METtotal > 1500 and STG = MA; 0 = otherwise,technical / physical activity classification,"LimeSurvey equation: if((METtotal > 1500) and (STG == 'MA'), 1, 0). If a participant receives the PAFlag he is automaticaly excluded from the study."
PASubgroup,Hidden subgroup classification for baseline physical activity level.,categorical,1 = METtotal < 650; 2 = METtotal >= 650,technical / subgrouping,"LimeSurvey equation: if(METtotal < 650, 1, 2). Required for automatic T1 subgrouping. Subgroup 1 = inactive/lower METtotal than minimal WHO Guidelines, Subgroup 2 = METtotal between minimal and maximal WHO Guidelines."
Habit1,My decision to be physically active is something I do automatically.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Habit2,My decision to be physically active is something I do without consciously remembering it.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Habit3,My decision to be physically active is something I do without thinking about it.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Habit4,My decision to be physically active is something I start doing before I realize that I am doing it.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Intention1,Intention to be physically active on most days during the coming week.,ordinal,1 = very unlikely; 7 = very likely,intention,TPB intention item; scale score = mean of Intention1–Intention3; range 1–7.
Intention2,Intended effort to be physically active on most days during the coming week.,ordinal,1 = definitely false; 7 = definitely true,intention,TPB intention item; scale score = mean of Intention1–Intention3; range 1–7.
Intention3,Plan to be physically active on most days during the coming week.,ordinal,1 = strongly disagree; 7 = strongly agree,intention,TPB intention item; scale score = mean of Intention1–Intention3; range 1–7.
Att1,Evaluation of being physically active during the coming week as harmful versus beneficial.,ordinal,1 = harmful; 7 = beneficial,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
Att2,Evaluation of being physically active during the coming week as unpleasant versus pleasant.,ordinal,1 = unpleasant; 7 = pleasant,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
Att3,Evaluation of being physically active during the coming week as bad versus good.,ordinal,1 = bad; 7 = good,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
